id,logtime,interactionid
151931988002797629,2018-02-22 18:17:56.918,8625498680555486332
151931991000119137,2018-02-22 18:18:01.010,1683622206507055488
151931991000620821,2018-02-22 18:18:06.169,2699154936259847609
151931991001249310,2018-02-22 18:18:10.641,1000796427675410178
151931991001273642,2018-02-22 18:18:12.419,674119291239070365
151931991001310754,2018-02-22 18:18:12.546,912168249484213230
151931991001940754,2018-02-22 18:18:18.952,7621320546122724742
151931991002702814,2018-02-22 18:18:26.556,2161699681548390585
151931994000087316,2018-02-22 18:18:30.825,4733283437716909531
151931994000995115,2018-02-22 18:18:37.508,9195494426179227869
151931994000947342,2018-02-22 18:18:39.547,4575758860712734811
151931994001284227,2018-02-22 18:18:42.030,640572282467552919
151931994001490446,2018-02-22 18:18:43.667,4099558102549923290
151931994001682604,2018-02-22 18:18:46.510,3000316533757329393
151931994001877405,2018-02-22 18:18:48.373,2370343928541143362
151931994001881606,2018-02-22 18:18:48.383,3515269819099396789
151931994002321814,2018-02-22 18:18:52.893,2503572744688162402
151931994002222724,2018-02-22 18:18:56.608,7971760044367596706
151931994003144629,2018-02-22 18:18:58.755,3434461337941129807
151931997000399042,2018-02-22 18:19:03.809,6676606544848511039
151931997000704915,2018-02-22 18:19:07.210,2079733089957223339
151931997001335814,2018-02-22 18:19:10.878,3508316431976275417
151931997001271137,2018-02-22 18:19:10.967,2969833988136934535
151931997001607914,2018-02-22 18:19:15.505,9069158429883702944
151931997001599642,2018-02-22 18:19:15.912,580468155781005218
151931997001620616,2018-02-22 18:19:16.105,6788413446138366810
151931997001896337,2018-02-22 18:19:18.014,1296185443072439336
151931997002704114,2018-02-22 18:19:23.741,6367170403871237148
151931997003549214,2018-02-22 18:19:28.804,8271680748600730806
151932000000256508,2018-02-22 18:19:31.775,4252889885972736433
151932000000279223,2018-02-22 18:19:34.252,362894432324565016
151932000000579348,2018-02-22 18:19:35.131,7939482801716419384
151932000000628137,2018-02-22 18:19:37.198,7667019146259783956
151932000000803903,2018-02-22 18:19:37.612,1655006871936335993
151932000000842430,2018-02-22 18:19:37.882,343842508341985763
151932000001365006,2018-02-22 18:19:43.196,7916556259368593265
151932000001353024,2018-02-22 18:19:56.345,7521027009108468050
151932000002913616,2018-02-22 18:19:59.290,832557493700709746
151932003000640406,2018-02-22 18:20:06.298,6112082130793793649
151932003000644515,2018-02-22 18:20:06.708,3763810414899380845
151932003000894024,2018-02-22 18:20:18.140,3775232612266122996
151932006000215816,2018-02-22 18:20:32.024,3182854527490356443
151932006000285507,2018-02-22 18:20:32.936,4548167552860445685
151932006001129448,2018-02-22 18:20:39.955,4462104515536246443
151932006001164453,2018-02-22 18:20:40.568,629350082633658192
151932006001986941,2018-02-22 18:20:48.905,8109757898253402138
151932006001182123,2018-02-22 18:20:52.457,5802878144679567875
151932006002416929,2018-02-22 18:20:52.538,949207598779447545
151932009000217606,2018-02-22 18:21:01.115,1843920446806117475
151932009000307636,2018-02-22 18:21:03.116,8742972179947177581
151932009000784735,2018-02-22 18:21:06.989,5969113202440430707
151932009001245006,2018-02-22 18:21:11.344,6430582227504818262
151932009001537338,2018-02-22 18:21:14.434,5795836444350727399
151932009001901115,2018-02-22 18:21:15.589,2828931972753747481
151932009001740402,2018-02-22 18:21:18.081,1883986368460312667
151932009001831706,2018-02-22 18:21:18.221,4524688393411525421
151932009003286914,2018-02-22 18:21:23.224,4093047050473925718
151932009002542706,2018-02-22 18:21:24.504,7202199186897016725
151932009002792327,2018-02-22 18:21:27.032,4623034214512559777
151932012000492804,2018-02-22 18:21:36.010,8878650779213018700
151932012001162339,2018-02-22 18:21:42.196,3532174336281788615
151932012001532208,2018-02-22 18:21:44.203,4830725892742878160
151932012002352848,2018-02-22 18:21:47.616,8964337077538138570
151932012002104912,2018-02-22 18:21:47.856,1115321115770254998
151932012002405214,2018-02-22 18:21:48.122,761698460657906308
151932012001043224,2018-02-22 18:21:48.138,4663631920310271103
151932012002239654,2018-02-22 18:21:51.531,8341708590187089389
151932012001122723,2018-02-22 18:21:51.810,407491747325560963
151932012002767427,2018-02-22 18:21:56.443,6838507099686226490
151932015000205848,2018-02-22 18:22:02.013,428637806952955862
151932015000629413,2018-02-22 18:22:05.606,5864895835798688882
151932015000610542,2018-02-22 18:22:05.912,9073136053009299759
151932015001624414,2018-02-22 18:22:10.897,8522572042844076732
151932015001748346,2018-02-22 18:22:16.992,1125652059200066106
151932015002110348,2018-02-22 18:22:18.998,593365544374446283
151932015002651647,2018-02-22 18:22:25.555,4185031595673574819
151932018000643254,2018-02-22 18:22:34.784,1573104578007701879
151932018000689106,2018-02-22 18:22:36.509,4930943101313387544
151932018001854202,2018-02-22 18:22:46.810,6615566049419400280
151932018002318811,2018-02-22 18:22:52.255,2443381260977804143
151932018002447349,2018-02-22 18:22:52.827,1425255725353142210
151932018002532045,2018-02-22 18:22:54.052,6304814145229530509
151932018001427524,2018-02-22 18:22:57.194,6035181458898496311
151932018002810249,2018-02-22 18:22:57.494,7601739578063349814
151932018003200812,2018-02-22 18:22:58.988,6814568937102165367
151932021000180243,2018-02-22 18:23:01.591,5405911636049312108
151932021000647949,2018-02-22 18:23:06.966,973013940898772066
151932021000622349,2018-02-22 18:23:06.991,4634121992475289725
151932021001054523,2018-02-22 18:23:12.050,2509930503943072807
151932021001422554,2018-02-22 18:23:12.785,4318509942994219056
151932021001709219,2018-02-22 18:23:15.950,1555770102193068435
151932021002073041,2018-02-22 18:23:19.393,4216221688287524059
151932021002149942,2018-02-22 18:23:20.636,2785029663727756476
151932021002517044,2018-02-22 18:23:21.808,2318079874972611817
151932021002430649,2018-02-22 18:23:22.185,2616579278316452748
151932021002517645,2018-02-22 18:23:22.469,2666936693861267132
151932021003516229,2018-02-22 18:23:25.173,7354224092525451499
151932021002882904,2018-02-22 18:23:28.125,8661294763765118934
151932021003099141,2018-02-22 18:23:29.312,264227570064089862
151932024000610739,2018-02-22 18:23:35.592,7310867026568682468
151932024001027549,2018-02-22 18:23:39.346,2124069475247335711
151932024001090602,2018-02-22 18:23:39.470,9088379434466314079
151932024001565730,2018-02-22 18:23:43.942,6658346609466369579
151932024002127027,2018-02-22 18:23:49.913,6445720057947946679
151932024002389802,2018-02-22 18:23:52.376,2630288532411214717
151932024003035948,2018-02-22 18:23:58.359,3287251309116885693
151932027000262315,2018-02-22 18:24:03.287,2147823387888480915
151932027000559342,2018-02-22 18:24:04.141,3938867696827062084
151932027000873148,2018-02-22 18:24:07.531,6947874963420252387
151932027001061819,2018-02-22 18:24:10.513,3826689004167834057
151932027001970919,2018-02-22 18:24:19.304,4721150848287684275
151932027002655433,2018-02-22 18:24:21.514,7413887907489764076
151932027002941116,2018-02-22 18:24:28.238,2512274084928925046
151932033001119415,2018-02-22 18:25:11.529,2995558042565803415
151932033001951043,2018-02-22 18:25:18.841,8430051886525932240
151932033003409929,2018-02-22 18:25:26.924,8792834682437332607
151932036000092426,2018-02-22 18:25:30.838,3221694568771907090
151932036001453207,2018-02-22 18:25:44.460,3906799635378801575
151932036001586543,2018-02-22 18:25:45.971,4182893849232321923
151932036002412913,2018-02-22 18:25:53.958,1945991794158716510
151932039000484815,2018-02-22 18:26:04.729,1691455015971691692
151932039000794118,2018-02-22 18:26:07.791,7927503146057846
151932039001316516,2018-02-22 18:26:13.699,7998568345539080333
151932039001918608,2018-02-22 18:26:14.764,1374682592373303506
151932039001924747,2018-02-22 18:26:18.646,6873126043004497112
151932042000084349,2018-02-22 18:26:31.245,7420324684078221022
151932042001730029,2018-02-22 18:26:46.859,1077292785485369506
151932042002985849,2018-02-22 18:26:58.705,5447090255026629671
151932045000776504,2018-02-22 18:27:07.502,6451251266777493654
151932045001387840,2018-02-22 18:27:14.880,8218845031971682094
151932045002712849,2018-02-22 18:27:26.308,5667344613586646285
151932048000460449,2018-02-22 18:27:32.584,2245190050310790986
151932048000424048,2018-02-22 18:27:34.239,2270474674163774567
151932048001397905,2018-02-22 18:27:43.664,4014626974126364960
151932048001678321,2018-02-22 18:27:45.426,5998347494745266722
151932048001051422,2018-02-22 18:27:50.736,8504168097665099525
151932048002254331,2018-02-22 18:27:51.207,8202452251909173740
151932048002593131,2018-02-22 18:27:53.257,852061157359042033
151932051000028619,2018-02-22 18:28:00.347,7372693496649040587
151932051000040929,2018-02-22 18:28:00.834,7655044998629457843
151932051000143844,2018-02-22 18:28:01.427,7699727539644667831
151932051000174922,2018-02-22 18:28:03.514,2376039238451045421
151932051000185122,2018-02-22 18:28:03.556,8724149717909707090
151932051000640934,2018-02-22 18:28:06.241,649016363198530789
151932054002616231,2018-02-22 18:28:53.346,7585499363320619638
151932054001353022,2018-02-22 18:28:56.995,5336357691433568134
151932057000153324,2018-02-22 18:29:01.420,9062806488712781486
151932057000802004,2018-02-22 18:29:07.754,4483621158075354908
